"Name","adamw_lr","muon_lr","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"breezy-sweep-31","0.0002462004465382763","0.000608458585408733","0.0002538026287082502","1.6271822452545166","0.9999994645572372","0.8461538461538461","0.8492575257544484","0.8523612053550507","0.4868497848510742","0.846","0.8490672963477153","0.8521345926954306"
"dry-sweep-30","0.0002342890990578145","0.0006011059107872377","0.00015175310160556497","1.6403361558914185","0.9999995359922488","0.8463568094174955","0.8486587094154221","0.8509606094133488","0.4949011206626892","0.84","0.8450126152695097","0.8500252305390192"
"flowing-sweep-29","0.00023987191373443803","0.000612602916579344","0.00020509515841031717","1.6289031505584717","0.9999995340652764","0.8455449563628983","0.8487457512859454","0.8519465462089926","0.48790690302848816","0.848","0.8492886661630927","0.8505773323261854"
"royal-sweep-28","0.00023125204285869553","0.0005971029513158756","0.0001785357989604457","1.6478058099746704","0.9999995908741044","0.8455449563628983","0.8473282195665177","0.8491114827701371","0.4994446039199829","0.842","0.8451903824565927","0.8483807649131856"
"northern-sweep-27","0.00029179973301231353","0.0005969803588540897","0.0003583600692148966","1.618433952331543","0.9999994198901366","0.8443271767810027","0.8489245521228451","0.8535219274646876","0.4814589619636536","0.85","0.8516658918939168","0.8533317837878336"
"smooth-sweep-26","0.0002495872091223973","0.0006069614940240228","0.00020858839713912375","1.6270275115966797","0.9999995039927042","0.8459508828901968","0.8489236554551736","0.8518964280201503","0.4867547154426574","0.844","0.8476100307927734","0.851220061585547"
"polar-sweep-25","0.00025997193903864936","0.0006060436445559221","0.00032493828264139394","1.6251550912857056","0.9999995059723298","0.8463568094174955","0.8495317725524316","0.8527067356873677","0.4856032729148865","0.848","0.8495539111646029","0.8511078223292059"
"jumping-sweep-24","0.00025948008187335594","0.0006084524194712412","0.00021666245968949923","1.6245815753936768","0.999999567933885","0.8453419930992491","0.849142897095872","0.8529438010924949","0.48525023460388184","0.848","0.8497087776122222","0.8514175552244444"
"stellar-sweep-23","0.0002639842719074487","0.0005663355539773447","0.00034322087519742005","1.6496715545654297","0.9999994307959768","0.8435153237264055","0.8461396365151761","0.8487639493039468","0.5005761981010437","0.838","0.8440067589223248","0.8500135178446496"
"dainty-sweep-22","0.00022799981755946137","0.0005917907879532186","0.00016648599774930992","1.6560959815979004","0.9999995486241088","0.8447331033083012","0.8469360860389558","0.8491390687696103","0.5044629573822021","0.842","0.8455615950787211","0.8491231901574422"
