"Name","adamw_lr","batch_size","dropout_rate","muon_lr","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"gallant-sweep-207","0.00006920111771097223","64","0.15","0.0009178906962040536","0.0001719203242504244","1.1741713285446167","0.9999994074712648","0.8694946214735133","0.8712473978731425","0.8730001742727718","0.16056258976459503","0.842","0.8515747060232948","0.8611494120465895"
"restful-sweep-206","0.00019751086728233812","32","0.1","0.0004927535294241862","0.000029682931791223107","1.2023433446884155","0.9999998492951674","0.867059062309722","0.8709743983007908","0.8748897342918597","0.1842724233865738","0.852","0.8570986214922593","0.8621972429845187"
"copper-sweep-205","0.00007551541628347133","32","0.05","0.00093335933719748","0.00003658786607344111","1.1880446672439575","0.9999997397309368","0.8680738786279684","0.866070916030915","0.8640679534338616","0.17230883240699768","0.862","0.8617483311064978","0.8614966622129957"
"major-sweep-204","0.000260673422365209","128","0.1","0.000831600821107767","0.000013239917650571006","1.484214425086975","0.9999994969904928","0.8542723766998174","0.8582922872448151","0.8623121977898127","0.3948856592178345","0.856","0.8545307002546101","0.8530614005092202"
"fresh-sweep-203","0.00008280213435528757","32","0.1","0.00032257911167112176","0.00003525025764455014","1.3520257472991943","0.9999997193766328","0.8680738786279684","0.8702981964889545","0.8725225143499404","0.3016039729118347","0.852","0.8567743609081663","0.8615487218163326"
"honest-sweep-202","0.0001054353580796111","32","0.05","0.0006850556688531998","0.00001792087053543421","1.188141942024231","0.9999997562806342","0.8615790541911914","0.8633798336208092","0.865180613050427","0.17239071428775787","0.838","0.847495071082847","0.856990142165694"
"cool-sweep-201","0.00010313946946771224","64","0.15","0.0006430238326368835","0.0003321241812801303","1.3657653331756592","0.9999995045451624","0.8654353562005277","0.8668824069452581","0.8683294576899886","0.31171491742134094","0.846","0.8530704859867222","0.8601409719734445"
"scarlet-sweep-200","0.00010702646052479412","32","0.15","0.0004516495663881184","0.0003322177753638475","1.2327334880828855","0.9999997751954344","0.8550842297544144","0.855837349842941","0.8565904699314677","0.2092340886592865","0.842","0.8494161353582818","0.8568322707165635"
"misty-sweep-199","0.00020494787264854015","32","0.2","0.0007148301884415854","0.0005624514444502412","1.2481201887130735","0.9999998343922026","0.8632027603003857","0.8665549563846121","0.8699071524688385","0.22163859009742737","0.848","0.8563945708545044","0.8647891417090089"
"astral-sweep-198","0.00013367756299847205","64","0.05","0.0008503064718040493","0.00001038120107545462","1.1748499870300293","0.9999995461180478","0.8577227521818551","0.8663906534705577","0.8750585547592602","0.1611405313014984","0.846","0.8524312352662897","0.8588624705325796"
"sweet-sweep-197","0.00006677626767325819","32","0.05","0.0004024119611388264","0.000012104450808720408","1.2570329904556274","0.9999995808891196","0.8735538867464989","0.8743030511074257","0.8750522154683524","0.2287541925907135","0.862","0.8627830545110817","0.8635661090221634"
"swift-sweep-196","0.00020740687637991751","32","0.05","0.0008156431322629248","0.000012425217635456962","1.2854787111282349","0.999999731328935","0.8727420336919017","0.8756960247130734","0.878650015734245","0.25113117694854736","0.86","0.8650613635829004","0.8701227271658009"
"eternal-sweep-195","0.000053457676487918546","32","0.05","0.00028870753940882514","0.00038284686660041914","1.4371283054351809","0.9999997674351012","0.8642175766186321","0.8666665353415641","0.8691154940644961","0.3626469075679779","0.854","0.8583546774821198","0.8627093549642396"
"celestial-sweep-194","0.00018270791764740015","64","0.2","0.0009293024054799","0.00010464611549856186","1.2379103899002075","0.9999996763796672","0.8629997970367363","0.8671639107373836","0.871328024438031","0.21342477202415464","0.842","0.8538124784089212","0.8656249568178424"
"lively-sweep-193","0.0000986118725385387","32","0.05","0.0009638643582200308","0.000019040130286554746","1.1545218229293823","0.9999996469150264","0.8597523848183479","0.8600865762525296","0.8604207676867112","0.1436861753463745","0.848","0.8550073505399054","0.8620147010798109"
"sleek-sweep-192","0.00006003481314887215","32","0.1","0.0008815364614906123","0.000032218443083487356","1.2044109106063845","0.999999786718486","0.8666531357824234","0.86754539506252","0.8684376543426165","0.18599051237106323","0.848","0.8585585130420483","0.8691170260840968"
"serene-sweep-191","0.0000623940512756485","32","0.1","0.0002262929797091028","0.000027183907072856812","1.544111251831055","0.9999997140769068","0.8593464582910493","0.8627958366807077","0.8662452150703661","0.4344485402107239","0.862","0.8626565593961661","0.8633131187923323"
"ethereal-sweep-190","0.00006658261090015222","64","0.1","0.0005335685751468629","0.000011671965179424132","1.4745361804962158","0.9999994940394124","0.8638116500913334","0.86447693726677","0.8651422244422067","0.3883434534072876","0.856","0.8580020284206389","0.8600040568412777"
