script,run,epoch1_pearson,epoch1_accuracy,epoch1_combine,epoch2_pearson,epoch2_accuracy,epoch2_combine,epoch3_pearson,epoch3_accuracy,epoch3_combine,test_pearson,test_accuracy,test_combine
nlp_hw3_bert.py,2,3,0.8440399684720057,0.78,0.8120199842360029,0.8634534720549591,0.856,0.8597267360274796,0.8642454845921641,0.824,0.844122742296082,0.8790319355165374,0.8664501725187741,0.8727410540176557
nlp_hw3_bert.py,2,4,0.8348316296487259,0.78,0.807415814824363,0.8545717300583033,0.85,0.8522858650291516,0.8670307014888746,0.856,0.8615153507444373,0.8764400714997799,0.8753805561193424,0.8759103138095612
nlp_hw3_bert.py,2,5,0.835008415953605,0.79,0.8125042079768026,0.8662536502475332,0.848,0.8571268251237666,0.8647582072830187,0.844,0.8543791036415094,0.8776365243489971,0.8603612746092957,0.8689988994791464
nlp_hw3_bert.py,2,6,0.8335340305932518,0.806,0.8197670152966259,0.8565844700247768,0.834,0.8452922350123884,0.8659108567874767,0.852,0.8589554283937384,0.8760658457721187,0.8593464582910493,0.867706152031584
nlp_hw3_bert.py,2,7,0.8305864449642039,0.82,0.8252932224821019,0.8546191409367532,0.854,0.8543095704683765,0.8701826830789892,0.86,0.8650913415394945,0.8784063725642559,0.8703064745281104,0.8743564235461831
nlp_hw3_bert.py,2,8,0.8460845110459273,0.828,0.8370422555229636,0.8701083792177658,0.85,0.8600541896088829,0.8713984765254189,0.846,0.8586992382627094,0.8719601337225515,0.8629997970367363,0.8674799653796439
nlp_hw3_bert.py,2,9,0.8377581304146487,0.804,0.8208790652073243,0.8678249049452845,0.85,0.8589124524726423,0.8718404173659929,0.852,0.8619202086829965,0.8780073453650686,0.8733509234828496,0.8756791344239592
nlp_hw3_bert.py,2,10,0.8418884239814203,0.812,0.8269442119907102,0.8639798306317875,0.836,0.8499899153158937,0.8629084108624707,0.854,0.8584542054312354,0.8756360697693468,0.8646235031459306,0.8701297864576387
nlp_hw3_bert.py,3,1,0.8477059659290956,0.764,0.8058529829645478,0.8708505919032019,0.852,0.8614252959516009,0.8674360165215595,0.846,0.8567180082607797,0.8795546234725631,0.8629997970367363,0.8712772102546498
nlp_hw3_bert.py,3,2,0.8188523419936079,0.742,0.7804261709968039,0.8441382035716547,0.858,0.8510691017858274,0.8695099001054688,0.86,0.8647549500527344,0.8845584058612426,0.8603612746092957,0.8724598402352691
nlp_hw3_bert.py,3,3,0.8416048874513747,0.808,0.8248024437256873,0.8618026370604189,0.83,0.8459013185302094,0.8783328822150225,0.84,0.8591664411075113,0.8793502353366662,0.8607672011365943,0.8700587182366303
nlp_hw3_bert.py,3,4,0.8268829187754205,0.752,0.7894414593877103,0.8501774532451906,0.852,0.8510887266225953,0.8666191718185732,0.854,0.8603095859092866,0.8811518825047201,0.8623909072457885,0.8717713948752543
nlp_hw3_bert.py,3,5,0.8314791617450622,0.75,0.790739580872531,0.8624442364436372,0.848,0.8552221182218186,0.8550735677241784,0.862,0.8585367838620892,0.8664274221465117,0.8652323929368785,0.8658299075416951
nlp_hw3_bert.py,3,6,0.836134158812438,0.824,0.830067079406219,0.8548480416736763,0.844,0.8494240208368382,0.8556978439631885,0.864,0.8598489219815942,0.8743619222048735,0.8591434950274001,0.8667527086161368
nlp_hw3_bert.py,3,7,0.8340093153963762,0.764,0.7990046576981882,0.8615270761884439,0.848,0.854763538094222,0.8684119183242123,0.868,0.8682059591621061,0.8809190992010593,0.865638319464177,0.8732787093326182
nlp_hw3_bert.py,3,8,0.8304126884790451,0.818,0.8242063442395225,0.8629900510897371,0.858,0.8604950255448686,0.8648278884569268,0.858,0.8614139442284634,0.8750949163345265,0.8713212908463568,0.8732081035904417
nlp_hw3_bert.py,3,9,0.8526893483604897,0.814,0.8333446741802448,0.8697242781912008,0.86,0.8648621390956004,0.8687199141492039,0.854,0.861359957074602,0.8758451172448981,0.8617820174548406,0.8688135673498694
nlp_hw3_bert.py,3,10,0.843804964694913,0.694,0.7689024823474564,0.8595967111622904,0.836,0.8477983555811452,0.8577656238743248,0.858,0.8578828119371624,0.8771886498833326,0.8696975847371625,0.8734431173102475
nlp_hw3_bert.py,4,1,0.8280437628938813,0.74,0.7840218814469406,0.8663926300773099,0.848,0.857196315038655,0.8649628821914164,0.848,0.8564814410957082,0.8729908819720568,0.8500101481631824,0.8615005150676196
nlp_hw3_bert.py,4,2,0.8443802497272845,0.762,0.8031901248636423,0.8500461027098887,0.832,0.8410230513549444,0.8664063557599522,0.852,0.859203177879976,0.8747122890220755,0.8638116500913334,0.8692619695567045
nlp_hw3_bert.py,4,3,0.8322578773628461,0.798,0.8151289386814231,0.8617425307563672,0.842,0.8518712653781836,0.8790356482486434,0.856,0.8675178241243218,0.8829136613453957,0.8662472092551248,0.8745804353002602
nlp_hw3_bert.py,4,4,0.8352825183179075,0.786,0.8106412591589538,0.8629190504318679,0.852,0.8574595252159339,0.8652476921538396,0.852,0.8586238460769198,0.8762539308728703,0.8585346052364522,0.8673942680546612
nlp_hw3_bert.py,4,5,0.8407352567648476,0.776,0.8083676283824238,0.8615942341495482,0.832,0.8467971170747741,0.8653517294026468,0.856,0.8606758647013234,0.8809062251000028,0.854069413436168,0.8674878192680855
nlp_hw3_bert.py,4,6,0.8323216008887058,0.802,0.8171608004443529,0.8615028076561856,0.844,0.8527514038280928,0.8546791177361867,0.854,0.8543395588680933,0.8694437708443148,0.8502131114268318,0.8598284411355732
nlp_hw3_bert.py,4,7,0.8302245797446198,0.66,0.7451122898723099,0.862668966987228,0.84,0.851334483493614,0.8736836074847543,0.858,0.8658418037423772,0.8828115345117138,0.8666531357824234,0.8747323351470686
nlp_hw3_bert.py,4,8,0.8169128804818799,0.764,0.79045644024094,0.8529670375805493,0.846,0.8494835187902746,0.8596976799991852,0.844,0.8518488399995926,0.8725290792271558,0.8593464582910493,0.8659377687591026
nlp_hw3_bert.py,4,9,0.8375584674887818,0.822,0.8297792337443909,0.8582878463670759,0.834,0.8461439231835379,0.8668149453340892,0.842,0.8544074726670445,0.8786969292556883,0.8621879439821393,0.8704424366189139
nlp_hw3_bert.py,4,10,0.8185627816679769,0.806,0.8122813908339885,0.8627405149280204,0.826,0.8443702574640102,0.8627838308676443,0.84,0.8513919154338221,0.8758113516362521,0.8530545971179216,0.8644329743770869
nlp_hw3_bert.py,5,1,0.8363871242046229,0.808,0.8221935621023115,0.8613263044808128,0.834,0.8476631522404063,0.8661532339061031,0.844,0.8550766169530515,0.8762836198017727,0.8632027603003857,0.8697431900510793
nlp_hw3_bert.py,5,2,0.8236399191361248,0.77,0.7968199595680624,0.8660656216810412,0.842,0.8540328108405206,0.8810731867642082,0.852,0.8665365933821041,0.8783221749688895,0.8638116500913334,0.8710669125301115
nlp_hw3_bert.py,5,3,0.8337032994209773,0.758,0.7958516497104886,0.8526076061837115,0.838,0.8453038030918557,0.855289544990652,0.854,0.854644772495326,0.8706354665105399,0.8544753399634666,0.8625554032370033
nlp_hw3_bert.py,5,4,0.8381198156535793,0.62,0.7290599078267896,0.8590201456556511,0.838,0.8485100728278255,0.868912706027411,0.864,0.8664563530137055,0.8786553938126515,0.8571138623909073,0.8678846281017794
nlp_hw3_bert.py,5,5,0.8208185661474071,0.702,0.7614092830737036,0.8722701129582976,0.852,0.8621350564791488,0.8687418223058173,0.85,0.8593709111529086,0.8709191031412882,0.8560990460726609,0.8635090746069745
nlp_hw3_bert.py,5,6,0.8348124748593734,0.678,0.7564062374296867,0.8547495259654863,0.824,0.839374762982743,0.8589854241060567,0.834,0.8464927120530283,0.8732770224610272,0.846762735944794,0.8600198792029106
nlp_hw3_bert.py,5,7,0.8329940455927559,0.698,0.765497022796378,0.8678608039934783,0.846,0.8569304019967392,0.8593547463492391,0.834,0.8466773731746196,0.8744059900867518,0.8475745889993911,0.8609902895430714
nlp_hw3_bert.py,5,8,0.8383841797395017,0.738,0.7881920898697509,0.8562322192437296,0.838,0.8471161096218648,0.8635829470907501,0.86,0.8617914735453751,0.8734938052379908,0.8563020093363102,0.8648979072871505
nlp_hw3_bert.py,5,9,0.8410492863675317,0.74,0.7905246431837658,0.8668806699750911,0.85,0.8584403349875456,0.8624185531792867,0.85,0.8562092765896434,0.8675454084710786,0.8552871930180638,0.8614163007445712
nlp_hw3_bert.py,5,10,0.823999636041884,0.706,0.764999818020942,0.8543358112699388,0.822,0.8381679056349693,0.8631828721329599,0.862,0.8625914360664799,0.8737345103585619,0.867870915364319,0.8708027128614404
nlp_hw3_bert.py,6,1,0.8243488568272271,0.72,0.7721744284136136,0.8647276264824291,0.836,0.8503638132412146,0.8688195375255985,0.828,0.8484097687627992,0.869875390929667,0.8412827278262635,0.8555790593779653
nlp_hw3_bert.py,6,2,0.8300155310365245,0.682,0.7560077655182622,0.8518202287251625,0.812,0.8319101143625813,0.8614033637359527,0.846,0.8537016818679763,0.8704971764316952,0.8500101481631824,0.8602536622974388
nlp_hw3_bert.py,6,3,0.8228015887087061,0.696,0.759400794354353,0.8539678030213235,0.81,0.8319839015106618,0.8647014138442705,0.84,0.8523507069221352,0.87361816539682,0.853257560381571,0.8634378628891954
nlp_hw3_bert.py,6,4,0.8188425732657529,0.696,0.7574212866328764,0.8498654484778628,0.818,0.8339327242389314,0.8709169984552803,0.844,0.8574584992276402,0.8818757480295204,0.8461538461538461,0.8640147970916833
nlp_hw3_bert.py,6,5,0.8327319281418657,0.632,0.7323659640709328,0.8590056209360207,0.834,0.8465028104680103,0.8650379161570005,0.84,0.8525189580785002,0.876594106329605,0.8534605236452202,0.8650273149874126
nlp_hw3_bert.py,6,6,0.8313023909511879,0.62,0.725651195475594,0.8587844750063827,0.82,0.8393922375031913,0.8682843543381162,0.84,0.854142177169058,0.8747053302192178,0.8581286787091537,0.8664170044641857
nlp_hw3_bert.py,6,7,0.8391187385947564,0.656,0.7475593692973782,0.8711196685812774,0.84,0.8555598342906388,0.8611722813314467,0.84,0.8505861406657234,0.8722331270817947,0.8461538461538461,0.8591934866178204
nlp_hw3_bert.py,6,8,0.8182461258061355,0.688,0.7531230629030677,0.8479694928173506,0.846,0.8469847464086753,0.8694232318639727,0.848,0.8587116159319863,0.879659175068034,0.8556931195453623,0.8676761473066982
nlp_hw3_bert.py,6,9,0.8334492596774762,0.714,0.7737246298387381,0.8549502511981089,0.836,0.8454751255990545,0.8637819502157914,0.866,0.8648909751078957,0.8700549514386529,0.8563020093363102,0.8631784803874816
nlp_hw3_bert.py,6,10,0.8295237042568732,0.686,0.7577618521284366,0.857477308837511,0.848,0.8527386544187555,0.8554435870364303,0.848,0.8517217935182151,0.8599558962768085,0.83661457276233,0.8482852345195693
nlp_hw3_bert.py,7,1,0.8241004705853092,0.694,0.7590502352926546,0.8533136849699002,0.842,0.8476568424849501,0.8705739329938728,0.848,0.8592869664969364,0.8774053671487678,0.8475745889993911,0.8624899780740795
nlp_hw3_bert.py,7,2,0.8195669340288384,0.586,0.7027834670144192,0.8552696774500101,0.828,0.841634838725005,0.8681478186873538,0.822,0.8450739093436769,0.8788419822822342,0.8447331033083012,0.8617875427952677
nlp_hw3_bert.py,7,3,0.8202083979117307,0.58,0.7001041989558654,0.8639142587437058,0.836,0.8499571293718529,0.8746897042979448,0.848,0.8613448521489724,0.8782800493505061,0.8512279277450782,0.8647539885477922
nlp_hw3_bert.py,7,4,0.8142327975425826,0.662,0.7381163987712913,0.8641493971145013,0.83,0.8470746985572506,0.8603682657018666,0.848,0.8541841328509333,0.8729366520627284,0.8433123604627563,0.8581245062627423
nlp_hw3_bert.py,7,5,0.79423774586945,0.64,0.717118872934725,0.8455063082188096,0.826,0.8357531541094048,0.8651699799462642,0.832,0.8485849899731321,0.8708668893624023,0.8437182869900548,0.8572925881762286
