"Name","adamw_lr","muon_lr","warmup_ratio","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"dauntless-sweep-368","0.00018829254635842352","0.0008154785331431789","0.1698953194278121","0.00004583866886117278","1.283408284187317","0.9999995851527236","0.8676679521006698","0.8692316716926476","0.8707953912846252","0.24951928853988647","0.838","0.8474776731129671","0.8569553462259342"
"fearless-sweep-17","0.00013622817692149372","0.0008249985769021818","0.1910737970471227","0.000028916192102374707","1.3038837909698486","0.9999996397220956","0.8707124010554089","0.8691918224521573","0.8676712438489058","0.26534736156463623","0.848","0.8511718216208618","0.8543436432417236"
"earthy-sweep-64","0.0001456705262746274","0.0008645181587534255","0.01331536212141955","0.0000448153524639728","1.2657970190048218","0.999999368566852","0.8686827684189162","0.869131010159075","0.8695792518992338","0.2357020080089569","0.84","0.8508578505627237","0.8617157011254474"
"clean-sweep-96","0.00018732571901238385","0.0008838774413452403","0.0975837402018392","0.00002238324056885132","1.2710614204406738","0.9999995529871952","0.8686827684189162","0.8690400014672557","0.869397234515595","0.23985233902931213","0.844","0.8536686657629273","0.8633373315258548"
"warm-sweep-2","0.00014313855314608648","0.0008612061846089019","0.13619564523434152","0.00004649217943135115","1.2627480030059814","0.9999994665449984","0.869291658209864","0.8690391990958477","0.8687867399818314","0.23329026997089383","0.846","0.8502308151694812","0.8544616303389624"
"sweet-sweep-31","0.0001983497939305757","0.0007355996820958178","0.10343512152886086","0.000025614750779739924","1.3298112154006958","0.9999995905993994","0.8717272173736553","0.8690333090146458","0.8663394006556364","0.28503695130348206","0.844","0.8480276871823706","0.8520553743647413"
"silver-sweep-34","0.00020180197196148896","0.000819024930586671","0.19078248820921492","0.000015335551150840293","1.2692888975143433","0.9999996796831032","0.8703064745281104","0.8690252723015452","0.8677440700749801","0.23845690488815308","0.848","0.8514057635171375","0.854811527034275"
"polar-sweep-67","0.0001979446307438582","0.0007656503261718581","0.07828913244798341","0.0000207041633860125","1.3130136728286743","0.9999996747501664","0.869291658209864","0.8689689603121722","0.8686462624144803","0.27232497930526733","0.84","0.850255698817423","0.8605113976348462"
"atomic-sweep-129","0.00018563633878072096","0.0008120740363935366","0.17818913128303385","0.00004301838461532742","1.289255976676941","0.9999995574526576","0.869291658209864","0.8689508625347282","0.8686100668595925","0.25406527519226074","0.844","0.8486078432111701","0.8532156864223401"
"noble-sweep-130","0.0001634650157310662","0.0008344132528764539","0.1081057296751105","0.000039854307348793675","1.2869852781295776","0.9999995105600514","0.869291658209864","0.868934393266974","0.8685771283240841","0.2523025572299957","0.834","0.8464870910487738","0.8589741820975477"
"fresh-sweep-43","0.00012864985338859218","0.0007701890779253606","0.079044721559403","0.00001067557243345681","1.3086494207382202","0.9999994683132172","0.869291658209864","0.8688389469872176","0.8683862357645713","0.26899558305740356","0.836","0.8461032213396658","0.8562064426793314"
"zesty-sweep-135","0.0001740346668940001","0.0008227664982143819","0.1302139716412793","0.000015466628193022717","1.2825356721878052","0.9999995808733688","0.867870915364319","0.8686913697151291","0.869511824065939","0.2488391399383545","0.834","0.8443837253533335","0.8547674507066669"
"fanciful-sweep-94","0.0001351913430680776","0.0008441889198351824","0.14047442737779897","0.00001659011747607476","1.2598447799682615","0.9999996369091844","0.8684798051552669","0.8686679756239695","0.8688561460926721","0.23098857700824735","0.84","0.8475218762358601","0.8550437524717203"
"wobbly-sweep-134","0.00015566422566924213","0.000826005100129804","0.07763808096733182","0.0000250871147633686","1.2866640090942385","0.999999628219367","0.8674649888370205","0.8686289841742498","0.8697929795114793","0.25205284357070923","0.846","0.8523559281689974","0.8587118563379948"
