"Name","adamw_lr","alpha","freeze_layers","muon_lr","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"trim-sweep-7","0.00006581456666003224","0.002913550892585071","7","0.00029071709857122807","1.326408863067627","0.999999944750458","0.8445301400446519","0.861849869705953","0.8791695993672541","0.28247523307800293","0.848","0.8607182685580801","0.8734365371161602"
"usual-sweep-64","0.000008780668975907402","0.003243006095194812","7","0.00021255223652368437","1.4413477182388306","0.9999999302246048","0.8473716257357419","0.861747469968146","0.87612331420055","0.3655785918235779","0.848","0.8607744546585199","0.8735489093170398"
"ethereal-sweep-66","0.000009443322542727814","0.07971259102266232","3","0.00019190789477719765","1.4244401454925537","0.9999998307603576","0.8494012583722347","0.8611890236533114","0.8729767889343881","0.3537788391113281","0.844","0.8583523626178056","0.872704725235611"
"crisp-sweep-18","0.000010440130877289314","0.1989792059119314","4","0.00014331741193549956","1.6481337547302246","0.99999979378856","0.851836817536026","0.8610251110299851","0.8702134045239444","0.4996435642242432","0.84","0.8528765668211624","0.865753133642325"
"fancy-sweep-31","0.000008647896853322787","0.0869624958616264","3","0.00014879323313282284","1.5634171962738037","0.9999999125093332","0.8483864420539883","0.8604433973430433","0.8725003526320984","0.4468739330768585","0.852","0.8602860129368703","0.8685720258737406"
"denim-sweep-1","0.00009659902602650044","0.050456257748691405","6","0.0001371082007003005","1.6082332134246826","0.9999999343200277","0.8449360665719505","0.8600476275121082","0.8751591884522658","0.4751361608505249","0.84","0.8568523059364692","0.8737046118729384"
"absurd-sweep-26","0.00005295532227033016","0.03205167702025196","7","0.00017714157125024127","1.54597008228302","0.9999998452116816","0.8449360665719505","0.859740336253322","0.8745446059346935","0.4356516003608704","0.846","0.8602245774939601","0.8744491549879203"
"glad-sweep-23","0.000022471738939330005","0.053472225834002775","5","0.00013804688326787107","1.6269245147705078","0.9999997937182958","0.8461538461538461","0.8587234918061415","0.871293137458437","0.486691415309906","0.832","0.8485848238757623","0.8651696477515246"
"winter-sweep-27","0.000033060641822462085","0.05518896727121241","1","0.00011254047440539624","1.570747971534729","0.9999998540875256","0.8483864420539883","0.8575496484824108","0.8667128549108332","0.4515519142150879","0.84","0.8527514023323193","0.8655028046646387"
"wandering-sweep-10","0.0001879430596123735","0.1225546835916204","9","0.00035762084601784086","1.48201584815979","0.9999998423077008","0.8437182869900548","0.8572047058856197","0.8706911247811846","0.39340317249298096","0.85","0.8618939526443798","0.8737879052887596"
"stilted-sweep-122","0.00004395934479595157","0.06047979341989234","9","0.00034679159507798536","1.3636956214904783","0.9999998819615212","0.8422975441445099","0.8570428858887672","0.8717882276330245","0.3101983666419983","0.846","0.8598232121344782","0.8736464242689564"
"magic-sweep-32","0.00002629404406652639","0.07647198840884734","0","0.00010065887235212684","1.6110888719558716","0.9999998776748752","0.846762735944794","0.8561425309079567","0.8655223258711192","0.4769103229045868","0.838","0.8509691135036039","0.8639382270072078"
"fresh-sweep-82","0.00024635592968239104","0.17822644884990155","8","0.0002110691982382724","1.5251291990280151","0.9999997933363166","0.8392530951897706","0.8557833023094925","0.8723135094292145","0.42207908630371094","0.846","0.8625966736270065","0.879193347254013"
