script,run,epoch1_pearson,epoch1_accuracy,epoch1_combine,epoch2_pearson,epoch2_accuracy,epoch2_combine,epoch3_pearson,epoch3_accuracy,epoch3_combine,test_pearson,test_accuracy,test_combine
nlp_hw3_roberta.py,1,0.8395,0.7340,0.7868,0.8666,0.8660,0.8663,0.8921,0.8860,0.8890,0.8965621842091982,0.8981124416480617,0.89733731292863
nlp_hw3_roberta.py,2,0.8419,0.7480,0.7949,0.8804,0.8760,0.8782,0.8952,0.8820,0.8886,0.8900878919048546,0.8875583519382991,0.8888231219215769
nlp_hw3_roberta.py,3,0.8366,0.7440,0.7903,0.8828,0.8640,0.8734,0.8820,0.8880,0.8850,0.8809995918641381,0.8776131520194844,0.8793063719418113
nlp_hw3_roberta.py,4,0.8561,0.7520,0.8041,0.8780,0.8620,0.8700,0.8849,0.8760,0.8805,0.8892576347432378,0.8810635275015222,0.8851605811223799
nlp_hw3_roberta.py,5,0.8377,0.8260,0.8319,0.8958,0.8880,0.8919,0.8845,0.8580,0.8713,0.8802396751647807,0.8761924091739395,0.8782160421693601
nlp_hw3_roberta.py,6,0.8431,0.7160,0.7796,0.8833,0.8900,0.8866,0.8906,0.8720,0.8813,0.8884382121466569,0.8861376090927542,0.8872879106197056
nlp_hw3_roberta.py,7,0.8549,0.7540,0.8044,0.8803,0.8620,0.8711,0.8946,0.8880,0.8913,0.8893063217780085,0.8800487111832759,0.8846775164806422
nlp_hw3_roberta.py,8,0.8362,0.7540,0.7951,0.8866,0.8800,0.8833,0.8927,0.8860,0.8894,0.8925383789023512,0.8855287193018063,0.8890335491020788
nlp_hw3_roberta.py,9,0.8540,0.7240,0.7890,0.8763,0.8620,0.8692,0.8847,0.8800,0.8824,0.8810507033940777,0.8780190785467831,0.8795348909704304
nlp_hw3_roberta.py,10,0.8335,0.7360,0.7847,0.8857,0.8680,0.8769,0.8952,0.8900,0.8926,0.8896184186062024,0.8853257560381571,0.8874720873221797
nlp_hw3_roberta.py,11,0.8277,0.7140,0.7709,0.8866,0.8840,0.8853,0.8931,0.8820,0.8876,0.8865335134919776,0.8871524254110006,0.8868429694514891
nlp_hw3_roberta.py,12,0.8484,0.7420,0.7952,0.8979,0.8640,0.8809,0.8760,0.8760,0.8760,0.8895836174278151,0.8763953724375888,0.882989494932702
nlp_hw3_roberta.py,13,0.8161,0.7200,0.7680,0.8777,0.8660,0.8718,0.8967,0.9000,0.8983,0.8939816568293207,0.8910087274203369,0.8924951921248288
nlp_hw3_roberta.py,14,0.8575,0.8400,0.8488,0.9018,0.8840,0.8929,0.8850,0.8880,0.8865,0.8871758461187295,0.8875583519382991,0.8873670990285143
nlp_hw3_roberta.py,15,0.8405,0.7400,0.7902,0.8730,0.8640,0.8685,0.8794,0.8720,0.8757,0.8843864535040654,0.8686827684189162,0.8765346109614909
nlp_hw3_roberta.py,16,0.8405,0.7720,0.8063,0.8800,0.8620,0.8710,0.8916,0.8600,0.8758,0.8871574474815813,0.8674649888370205,0.8773112181593009
nlp_hw3_roberta.py,17,0.8314,0.7260,0.7787,0.8817,0.8760,0.8788,0.8878,0.8760,0.8819,0.8909337554144587,0.8940531763750761,0.8924934658947674
nlp_hw3_roberta.py,18,0.8274,0.7380,0.7827,0.8786,0.8800,0.8793,0.8789,0.8720,0.8755,0.8832218920222811,0.8800487111832759,0.8816353016027785
nlp_hw3_roberta.py,19,0.8369,0.7320,0.7844,0.8872,0.8580,0.8726,0.8963,0.8740,0.8851,0.8953803068160249,0.8889790947838441,0.8921797007999345
nlp_hw3_roberta.py,20,0.8676,0.8520,0.8598,0.8964,0.8800,0.8882,0.8945,0.8780,0.8863,0.8922330076987569,0.8887761315201949,0.8905045696094759
nlp_hw3_gpt2.py,1,0.7334,0.6440,0.6887,0.8334,0.8000,0.8167,0.8544,0.8620,0.8582,0.8402235800164419,0.855490156281713,0.8478568681490775
nlp_hw3_gpt2.py,2,0.7423,0.7100,0.7262,0.8317,0.7760,0.8038,0.8467,0.8740,0.8604,0.8476846091731223,0.8526486705906231,0.8501666398818727
nlp_hw3_gpt2.py,3,0.7805,0.6800,0.7302,0.8357,0.8040,0.8199,0.8556,0.8520,0.8538,0.8466486003848906,0.8524457073269738,0.8495471538559323
nlp_hw3_gpt2.py,4,0.7725,0.6980,0.7352,0.8402,0.8700,0.8551,0.8475,0.8600,0.8538,0.8330060710131945,0.8528516338542724,0.8429288524337335
nlp_hw3_gpt2.py,5,0.7248,0.7680,0.7464,0.8070,0.8100,0.8085,0.8238,0.8400,0.8319,0.831872429961728,0.8520397807996752,0.8419561053807016
nlp_hw3_gpt2.py,6,0.7338,0.6120,0.6729,0.8205,0.7440,0.7822,0.8374,0.8580,0.8477,0.8430309156682253,0.8465597726811447,0.8447953441746849
nlp_hw3_gpt2.py,7,0.7507,0.6620,0.7063,0.8205,0.8220,0.8212,0.8257,0.8620,0.8439,0.8408440279197597,0.8569108991272579,0.8488774635235088
nlp_hw3_gpt2.py,8,0.7263,0.6020,0.6641,0.8269,0.8300,0.8285,0.8435,0.8520,0.8477,0.8433851624870305,0.8569108991272579,0.8501480308071443
nlp_hw3_gpt2.py,9,0.7074,0.6560,0.6817,0.8190,0.7640,0.7915,0.8373,0.8560,0.8467,0.8370442988677349,0.8433123604627563,0.8401783296652456
nlp_hw3_gpt2.py,10,0.7259,0.7240,0.7250,0.8244,0.8460,0.8352,0.8393,0.8720,0.8557,0.8376805768317979,0.8530545971179216,0.8453675869748598
nlp_hw3_gpt2.py,11,0.7424,0.7160,0.7292,0.8329,0.8500,0.8414,0.8418,0.8460,0.8439,0.8440022639004787,0.8542723766998174,0.849137320300148
nlp_hw3_gpt2.py,12,0.7470,0.6760,0.7115,0.8206,0.8260,0.8233,0.8467,0.8680,0.8573,0.8392360737012454,0.8560990460726609,0.8476675598869532
nlp_hw3_gpt2.py,13,0.7505,0.6960,0.7232,0.8299,0.8440,0.8369,0.8461,0.8680,0.8571,0.8425784571990179,0.8571138623909073,0.8498461597949626
nlp_hw3_gpt2.py,14,0.7577,0.6600,0.7089,0.8360,0.8360,0.8360,0.8382,0.8400,0.8391,0.8392364952617135,0.854069413436168,0.8466529543489407
nlp_hw3_gpt2.py,15,0.7693,0.6980,0.7336,0.8208,0.8160,0.8184,0.8457,0.8520,0.8488,0.8485117229787578,0.8565049725999594,0.8525083477893586
nlp_hw3_gpt2.py,16,0.7344,0.6280,0.6812,0.7992,0.8180,0.8086,0.8396,0.8580,0.8488,0.8406510881947489,0.854069413436168,0.8473602508154585
nlp_hw3_gpt2.py,17,0.7297,0.6780,0.7038,0.8321,0.8480,0.8401,0.8373,0.8540,0.8456,0.8328420761913099,0.8573168256545566,0.8450794509229332
nlp_hw3_gpt2.py,18,0.7933,0.6940,0.7437,0.8440,0.8680,0.8560,0.8421,0.8640,0.8531,0.8265175357505695,0.850416074690481,0.8384668052205253
nlp_hw3_gpt2.py,19,0.7489,0.7000,0.7244,0.8068,0.7640,0.7854,0.8466,0.8380,0.8423,0.845461084857398,0.8546783032271159,0.850069694042257
nlp_hw3_gpt2.py,20,0.7171,0.6640,0.6905,0.8215,0.8220,0.8218,0.8293,0.8800,0.8547,0.8392734051482004,0.8607672011365943,0.8500203031423974
nlp_hw3_bert_reg.py,1,0.8327,0.3560,0.5944,0.8677,0.2780,0.5729,0.8734,0.3680,0.6207,0.8817086786683562,0.3817738989242947,0.6317412887963254
nlp_hw3_bert_reg.py,2,0.8357,0.2880,0.5618,0.8640,0.2880,0.5760,0.8632,0.2880,0.5756,0.8730044411230748,0.28699005480008116,0.579997247961578
nlp_hw3_bert_reg.py,3,0.8327,0.1520,0.4923,0.8491,0.1540,0.5015,0.8577,0.1480,0.5028,0.8753820323572947,0.1465394763547798,0.5109607543560373
