"Name","adamw_lr","dropout_rate","muon_lr","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"fast-sweep-5","0.0002802126012042638","0.15","0.0003922895968170204","0.00024843159568450007","1.0606698989868164","0.9999993631448568","0.8690886949462148","0.8730708866174877","0.8770530782887604","0.05890066921710968","0.854","0.8590804539556984","0.864160907911397"
"logical-sweep-26","0.00020654746483708057","0.15","0.00042869316250054314","0.00010965994521988724","1.0369371175765991","0.99999919919551","0.8699005480008118","0.8730377575062399","0.876174967011668","0.03627125918865204","0.844","0.8536574906431591","0.8633149812863182"
"light-sweep-28","0.00026672829837506184","0.05","0.000415817911521551","0.00011682400110333068","1.0435791015625","0.9999992367689065","0.8676679521006698","0.8725759115799689","0.8774838710592681","0.04265620931982994","0.828","0.8444391881760652","0.8608783763521305"
"breezy-sweep-21","0.00028391728261747945","0.15","0.00047498668438238697","0.000276611557438457","1.0551146268844604","0.9999996931778884","0.8699005480008118","0.8724932860713592","0.8750860241419067","0.05364934355020523","0.838","0.8506496662883203","0.8632993325766407"
"twilight-sweep-27","0.00016190600869192914","0.15","0.0004798334039244061","0.00014171396597180346","1.0796633958816528","0.999999789226062","0.8654353562005277","0.8717347218645218","0.878034087528516","0.07664931565523148","0.856","0.8573153619784544","0.8586307239569088"
"azure-sweep-33","0.00019665413323649783","0.05","0.0003932988949049008","0.00010761167961930784","1.0569276809692385","0.999999784163941","0.8719301806373047","0.8716150275819401","0.8712998745265754","0.05536623299121857","0.862","0.862565630331864","0.8631312606637279"
"still-sweep-10","0.00027245419001910005","0.05","0.0005730736465732865","0.000281106392720073","1.0494422912597656","0.999999408449244","0.8646235031459306","0.8715846821993691","0.8785458612528076","0.04825882241129875","0.846","0.8579989886252315","0.8699979772504629"
"pretty-sweep-14","0.00021341855948985296","0.15","0.0006607726004663528","0.0001730566233231721","1.0341901779174805","0.9999992921927612","0.8715242541100061","0.8715607764057611","0.8715972987015163","0.03361872211098671","0.832","0.839467402664434","0.8469348053288679"
"proud-sweep-11","0.0002807718441794261","0.15","0.0004629432538538854","0.0002368281564359221","1.0520490407943726","0.9999991446241636","0.8658412827278262","0.8715588862838461","0.8772764898398662","0.050739727914333344","0.846","0.8557588355109421","0.8655176710218843"
"colorful-sweep-12","0.000274402962889637","0.15","0.0004672807036565373","0.0002594599143489691","1.0426239967346191","0.9999991511688632","0.8666531357824234","0.8708458449260825","0.8750385540697416","0.04174059256911278","0.86","0.8608983105351895","0.8617966210703789"
"polar-sweep-13","0.00028516430898700723","0.05","0.000452476161843626","0.00028884173372165415","1.07993745803833","0.9999999053122144","0.8652323929368785","0.8697687062106003","0.8743050194843222","0.07690316438674927","0.862","0.8595276110485188","0.8570552220970377"
"trim-sweep-23","0.00025183616907218455","0.05","0.0006954154731330853","0.00012725833986020857","1.0334168672561646","0.6926195511362357","0.8674649888370205","0.8697518797886219","0.8720387707402234","0.03287064656615257","0.85","0.8594454800593506","0.8688909601187013"
"restful-sweep-15","0.00026402059650231527","0.05","0.0005680859670588406","0.00017078157494339354","1.0257856845855713","0.7574375164431816","0.8694946214735133","0.8686855045878991","0.8678763877022848","0.025458814576268196","0.838","0.8428093589361629","0.8476187178723258"
"fine-sweep-2","0.0002044772566216258","0.05","0.000538678035826905","0.00010006323304746064","1.043470025062561","0.9999995526615164","0.8613760909275421","0.8664747464527965","0.871573401978051","0.042551685124635696","0.864","0.8630622994612873","0.8621245989225746"
"giddy-sweep-1","0.00018624158112854564","0.05","0.0005082274124056991","0.00008790128393919805","1.0312016010284424","0.9999998369717136","0.8607672011365943","0.8659086071984539","0.8710500132603134","0.03072473406791687","0.856","0.8593020155378507","0.8626040310757014"
"winter-sweep-29","0.0001788338052064198","0.05","0.0006727195803373642","0.00026985940547144766","1.024785041809082","0.9983383702938492","0.8638116500913334","0.8657743257476476","0.8677370014039617","0.024482835084199905","0.832","0.8408696442052228","0.8497392884104457"
"earthy-sweep-20","0.00021166086169978324","0.15","0.0005969757958483553","0.00021454240057739216","1.069415807723999","0.9999997328629916","0.8613760909275421","0.8653439229677438","0.8693117550079454","0.0671125277876854","0.858","0.8586909477645459","0.8593818955290918"
"elated-sweep-30","0.00018382353203480885","0.05","0.0006404424201102683","0.0001743728766189307","1.0528106689453125","0.9999992083658724","0.8629997970367363","0.865003312243859","0.8670068274509815","0.051463399082422256","0.832","0.8424577563948856","0.8529155127897712"
"clear-sweep-17","0.000192544261468791","0.05","0.0004479269746715323","0.0001089484359134002","1.038402438163757","0.8974726573879269","0.8579257154455043","0.8648210960949283","0.8717164767443524","0.0376833900809288","0.854","0.8602331816573734","0.8664663633147467"
