"Name","adamw_lr","adamw_weight_decay","alpha","muon_lr","muon_momentum","muon_weight_decay","warmup_ratio","test/accuracy","test/combined_score","test/macro_f1","test/pearson","test/weighted_f1","train/batch_perplexity","train/loss","train/raw_grad_norm","val/accuracy","val/combined_score","val/macro_f1","val/pearson","val/weighted_f1"
"jolly-sweep-13","0.0016223494120576494","0.030950106858122103","0.2831487150933447","0.0002746803533387101","0.9227099940775112","0.044061639790458754","0.46972925970161417","0.8800487111832759","0.8883441907239225","0.8726296350648859","0.8966396702645689","0.8802809605608655","1.897076964378357","0.6403142809867859","14.076592889142308","0.87","0.8800570888599002","0.869388233683984","0.8901141777198005","0.870984107673881"
"stilted-sweep-27","0.0016637470039815758","0.04889565764493853","0.08440813295582761","0.0009229237314298194","0.905021569460475","0.0529990017137268","0.3749957335236871","0.8837020499289628","0.8882419610949215","0.8751515243113571","0.8927818722608801","0.883643316033709","1.14556884765625","0.13590136170387268","7.521972397392359","0.874","0.8762303270822782","0.8681822611473623","0.8784606541645564","0.8742844032697709"
"noble-sweep-46","0.00211669519849301","0.020819196581915105","0.06571657027449765","0.0007703506668712285","0.935688385706223","0.12812848692606127","0.22248833753595976","0.8800487111832759","0.8880319936484257","0.8703444507521677","0.8960152761135755","0.8802460787194596","1.1315778493881226","0.12361308187246324","7.380226671383547","0.874","0.8755811978246164","0.8690757916691307","0.8771623956492327","0.8744973780418641"
"super-sweep-50","0.0017913401638293017","0.049244374762336805","0.18162734659951632","0.0006390758377772838","0.9058007671682996","0.052898587133789025","0.17794600072123967","0.8820783438197686","0.8879668832274581","0.872450291805138","0.8938554226351476","0.8822796519174918","1.8058794736862185","0.5910477042198181","17.799962666716773","0.878","0.8827772502916749","0.8719005374270359","0.8875545005833497","0.8786226891923167"
"eager-sweep-36","0.0020335195380346604","0.010563381494001756","0.1041974651612493","0.0004999829597271127","0.944220170544105","0.12262691332443176","0.2362838399520215","0.8786279683377308","0.8877461306129497","0.8696617069695045","0.8968642928881687","0.8789017741062612","1.5353606939315796","0.42876535654067993","21.612961322661658","0.88","0.8854157946527151","0.8747121755295768","0.8908315893054303","0.8805631307006816"
"desert-sweep-34","0.001997400556562594","0.017100205672278983","0.1420363037958413","0.0006682004052736146","0.9061737732504136","0.0726901769151303","0.2176628362760107","0.8804546377105744","0.8876833978590569","0.8706858439110109","0.8949121580075394","0.8807760069547902","1.2709840536117554","0.23979149758815765","16.139338739587867","0.874","0.880875633231432","0.8699269013906497","0.8877512664628642","0.8746727933868835"
"vibrant-sweep-42","0.001476487462016229","0.05963670847447623","0.31508108216652553","0.00032493649174450607","0.9221934311781314","0.04119926972484311","0.5415909065415976","0.8792368581286787","0.8870081622677116","0.8720806001087289","0.8947794664067446","0.8795972212300615","1.6958887577056885","0.5282069444656372","18.364157011129723","0.874","0.8812184381204433","0.8700074481167741","0.8884368762408866","0.8747761484062525"
"swift-sweep-44","0.0015480681048752052","0.06814806909933072","0.2191312517237304","0.0005450465587949321","0.8951925316055018","0.05958931711744728","0.36820791942166464","0.8763953724375888","0.8867904678596751","0.8686742066046937","0.8971855632817614","0.8768246759622927","1.789656400680542","0.5820236206054688","14.319186461144822","0.868","0.8760433399774161","0.8697896063667875","0.8840866799548321","0.8693324393727078"
"fresh-sweep-38","0.0012806739410120495","0.0434771702451032","0.24390402116238727","0.0005967948726821489","0.9201127925303578","0.04938219370001391","0.20913321829921824","0.879439821392328","0.8866096930390281","0.8690223288472326","0.8937795646857283","0.8797716098752097","1.1550978422164917","0.14418499171733856","7.394174021066321","0.878","0.8833045266692414","0.8763548859848079","0.888609053338483","0.8785504158042436"
"usual-sweep-28","0.002281720379860678","0.046071113069436925","0.4039863789705589","0.0007464904391706385","0.955597952413294","0.0820223112334853","0.6650747524975931","0.8843109397199107","0.88625830615213","0.8774226582401544","0.8882056725843492","0.8841238537734759","1.4262028932571411","0.3550155758857727","17.412741426443603","0.894","0.8866356475103518","0.890961878673743","0.8792712950207038","0.8943112651943161"
"confused-sweep-17","0.001094000809226908","0.04600201751508206","0.2766544740839469","0.0007178376379054762","0.921465748348986","0.1494814753770023","0.2555958955249814","0.8759894459102903","0.8852289585510118","0.8669692531978835","0.8944684711917334","0.8760885468127125","1.2932264804840088","0.25714021921157837","15.678487278564004","0.872","0.8765701185786319","0.8665881879688208","0.8811402371572638","0.8724922973651642"
"lyric-sweep-35","0.0017975763931355202","0.01919178112821053","0.16755028952197373","0.0004393037432129337","0.9421836892424168","0.07793431271731621","0.26036148705450074","0.8761924091739395","0.8848849238973423","0.8677390066476457","0.8935774386207451","0.8765938148506243","1.2616214752197266","0.23239779472351071","20.023420592246055","0.87","0.8762650914027597","0.8690137731561466","0.8825301828055193","0.870996276749873"
"fancy-sweep-5","0.0014519945432353528","0.01239248692893602","0.13592488923686802","0.0007134320474600124","0.9422065526767316","0.13367070718517635","0.4192775991288732","0.8757864826466409","0.8848087606582822","0.8659715994777645","0.8938310386699234","0.8757246915109963","1.2971051931381226","0.2601349949836731","12.364409249151514","0.876","0.8779315307342273","0.8685246503549053","0.8798630614684545","0.8763481915885448"
"elated-sweep-21","0.002077535417979626","0.018724129767553603","0.15898744519906097","0.0006732747183705946","0.9285228112057544","0.04232476423603256","0.4986030425873228","0.8749746295920439","0.8843294972338656","0.8663648192220813","0.8936843648756871","0.8754411537478994","1.141196846961975","0.13207757472991943","4.923265346464094","0.876","0.8830008735282642","0.8722988267622039","0.8900017470565283","0.876707482192957"
"exalted-sweep-47","0.0016065509606156244","0.012213132261723375","0.048547927210446394","0.0007715418445096619","0.9328376867463032","0.050783133059850105","0.18331941664513413","0.8800487111832759","0.8842089620637624","0.8749328151076127","0.888369212944249","0.8806538174141242","1.1450127363204956","0.1354156732559204","7.693201576801758","0.868","0.8722501866844024","0.8598105081826013","0.8765003733688047","0.8687429457364341"
"fearless-sweep-39","0.001894301396308098","0.04805397821599459","0.3843987796946387","0.0004185167219096177","0.9123490087449648","0.05459559693389787","0.1351330155922883","0.874365739801096","0.883658293588667","0.8661421269580477","0.8929508473762379","0.8748541194448332","1.6542341709136963","0.503338098526001","24.145406480434605","0.876","0.88166104682462","0.8752934681734317","0.88732209364924","0.8771771888540487"
