"Name","adamw_lr","batch_size","grad_clip","muon_lr","batch_perplexity","best_val_accuracy","raw_grad_norm","train_loss","val_accuracy","val_correct"
"pleasant-sweep-45","0.0010935915886904485","128","0.5","0.0012383029345754914","1.1787282228469849","0.7644444444444445","2.0840721342855355","0.16443607211112976","0.7644444444444445","20124"
"crimson-sweep-44","0.0011329347545497854","128","0.5","0.0008875563832490075","1.1991827487945557","0.76338081671415","5.766260483325969","0.18164026737213135","0.76338081671415","20096"
"rich-sweep-101","0.0009293457099398592","128","1","0.0008973988894167647","1.1601320505142212","0.7624311490978157","5.270835918469225","0.14853383600711825","0.7624311490978157","20071"
"stellar-sweep-54","0.0012868539741061628","128","2","0.0011200670034014692","1.204450249671936","0.7622792022792023","5.724101945693988","0.1860232800245285","0.7622792022792023","20067"
"golden-sweep-11","0.0011534013230516554","128","1","0.0013678122319803305","1.1723458766937256","0.761633428300095","4.044042409421655","0.1590067595243454","0.761633428300095","20050"
"different-sweep-72","0.001367245502337097","128","2","0.0010745446540500305","1.2223355770111084","0.7607597340930674","6.9951936430072195","0.20076335966587067","0.7607597340930674","20027"
"true-sweep-19","0.001312727749063855","128","0.5","0.0010217064947599629","1.194705367088318","0.7604938271604939","5.052223024862863","0.17789961397647858","0.7604938271604939","20020"
"autumn-sweep-114","0.001523827305848168","128","0.5","0.001532011111243928","1.171394109725952","0.7596581196581197","3.2575356978225765","0.1581946313381195","0.7579867046533714","19954"
"stellar-sweep-2","0.0009298058775188716","128","2","0.0015226697708156083","1.1898562908172607","0.7591263057929725","3.8079701562130888","0.1738325208425522","0.7591263057929725","19984"
"deft-sweep-33","0.0009717139800865576","128","1","0.001334056982021251","1.1408699750900269","0.7589363722697056","2.808710274688841","0.1317911148071289","0.7589363722697056","19979"
"radiant-sweep-29","0.0013976577451371883","128","0.5","0.0013067704586186622","1.193289875984192","0.7566571699905034","8.46350833977362","0.17671401798725128","0.7566571699905034","19919"
"wise-sweep-97","0.0009518580299084186","128","2","0.0015998821578656788","1.1583402156829834","0.7562013295346629","4.110871067267281","0.1469881385564804","0.7562013295346629","19907"
"dandy-sweep-41","0.0012689065602138404","256","2","0.0015874544639146435","1.2151881456375122","0.7557454890788224","3.4980008256195654","0.1948989629745483","0.7557454890788224","19895"
"sandy-sweep-81","0.0010907435958853915","128","0.5","0.001559289141715478","1.2189093828201294","0.7555935422602089","2.5145619375398724","0.19795648753643036","0.7555935422602089","19891"
"treasured-sweep-66","0.0013745200453710968","128","1","0.0012138509173347065","1.2239761352539062","0.7543399810066477","4.433830943816746","0.20210467278957367","0.7543399810066477","19858"
"lemon-sweep-111","0.0015761024150463385","128","0.5","0.0009860144664342236","1.1927931308746338","0.7526685660018994","3.561666433269652","0.17629766464233398","0.7526685660018994","19814"
"eager-sweep-49","0.0011548502450099871","128","2","0.0012940644927587478","1.1874375343322754","0.7524786324786324","7.072924534153453","0.17179764807224274","0.7524786324786324","19809"
"stellar-sweep-39","0.0010109989334632296","256","2","0.001461389179755051","1.199082374572754","0.7521367521367521","5.121584055437945","0.18155653774738312","0.7521367521367521","19800"
"good-sweep-17","0.001263958134861053","128","1","0.001482452954572118","1.2131949663162231","0.751301044634378","4.898445664868905","0.19325730204582217","0.751301044634378","19778"
"misty-sweep-16","0.001376556092821548","128","1","0.0014892017737027734","1.203593373298645","0.7509591642924976","2.5077447954214493","0.18531155586242676","0.7509591642924976","19769"
"hardy-sweep-53","0.0015798991874605773","256","1","0.001301178006731298","1.253254532814026","0.7489078822412156","10.237584120376322","0.2257438004016876","0.7489078822412156","19715"
"rose-sweep-100","0.001441640123866807","128","0.5","0.0008552920689500669","1.190662503242493","0.7485660018993352","5.086137808126539","0.17450983822345734","0.7485660018993352","19706"
"azure-sweep-21","0.0011393546677124448","128","1","0.0015719971111681913","1.187541365623474","0.7473504273504273","3.823559691069061","0.17188508808612823","0.7330294396961063","19297"
"wandering-sweep-3","0.0012131311438965352","256","0.5","0.0013923638116168206","1.2049044370651243","0.7469705603038936","4.978831940531356","0.18640023469924927","0.7469705603038936","19664"
"stellar-sweep-34","0.0009263909142770264","128","2","0.0009756148682124129","1.173097014427185","0.7468186134852801","4.004847298206189","0.15964728593826294","0.7468186134852801","19660"
"sage-sweep-90","0.0008199778866073889","128","2","0.0014129974676571348","1.1463992595672607","0.7457169990503324","2.347073777902173","0.13662594556808472","0.7418803418803419","19530"
"dauntless-sweep-104","0.0008741392942838127","128","1","0.0015009181533803214","1.221516728401184","0.7440455840455841","4.249554600229823","0.20009325444698337","0.7440455840455841","19587"
"clean-sweep-89","0.0013598074662929892","256","1","0.0014507999272802335","1.1943552494049072","0.74332383665717","6.605466279508529","0.17760655283927915","0.74332383665717","19568"
"eternal-sweep-27","0.0010610550926834605","128","1","0.000858367038600755","1.191738843917847","0.7413105413105413","8.530705243126995","0.17541345953941345","0.7413105413105413","19515"
"sweet-sweep-102","0.0013540580059446462","128","2","0.0014947088543027713","1.2414019107818604","0.7399050332383665","4.525329332643006","0.21624130010604856","0.7399050332383665","19478"
"whole-sweep-51","0.0015517379542352237","256","2","0.0012577783659077594","1.2138055562973022","0.7394491927825261","2.8588369664149003","0.1937604993581772","0.7394491927825261","19466"
"trim-sweep-105","0.0011946477824027711","128","0.5","0.0008648316353031743","1.2208818197250366","0.7387654320987654","5.814194623000704","0.19957339763641355","0.7387654320987654","19448"
"good-sweep-13","0.0011590244597080304","256","1","0.0015456114226704998","1.2351409196853638","0.7365242165242165","4.132525801796851","0.21118508279323575","0.7365242165242165","19389"
"robust-sweep-30","0.0012938270123144492","256","1","0.001509744626069425","1.220294952392578","0.7363342830009497","4.939255430588661","0.19909250736236572","0.7363342830009497","19384"
"gallant-sweep-79","0.0010082810776694325","256","0.5","0.001119693742575056","1.2509199380874634","0.7306742640075974","11.295882509481356","0.22387920320034027","0.7306742640075974","19235"
"helpful-sweep-99","0.0008347289060931077","256","2","0.0012246510124556524","1.1956428289413452","0.7297625830959165","5.434007230924817","0.17868398129940033","0.7297625830959165","19211"
"deft-sweep-24","0.001323920462473077","256","1","0.0011862236321911906","1.2268893718719482","0.7291547958214625","6.3903319314388","0.20448194444179535","0.7291547958214625","19195"
"dandy-sweep-18","0.0008437510293875745","256","1","0.0014158617220248596","1.1998839378356934","0.7288129154795822","4.268680803429801","0.1822248548269272","0.7288129154795822","19186"
"happy-sweep-5","0.0009370475297920544","256","2","0.0015509678975701418","1.2117840051651","0.7281671415004748","3.941353209576153","0.19209368526935575","0.7281671415004748","19169"
